	0 YEAR	1 YEAR	2 YEARS	3 YEARS	4 YEARS	5 YEARS	6 YEARS	7 YEARS	8 YEARS	9 YEARS	10 YEARS	11 YEARS	12 YEARS	13 YEARS	14 YEARS	15 YEARS	16 YEARS	17 YEARS	18 YEARS	19 YEARS	20 YEARS	21 YEARS	22 YEARS	23 YEARS	24 YEARS	25 YEARS	26 YEARS	27 YEARS	28 YEARS	29 YEARS	30 YEARS	31 YEARS	32 YEARS	33 YEARS	34 YEARS	35 YEARS	36 YEARS	37 YEARS	38 YEARS	39 YEARS	40 YEARS
W-3	$184.41	$184.41	$191.38	$198.57	$200.90	$200.90	$208.41	$208.41	$223.19	$223.19	$238.59	$238.59	$245.84	$245.84	$254.23	$254.23	$262.85	$262.85	$278.40	$278.40	$288.88	$288.88	$295.15	$295.15	$301.82	$301.82	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91	$310.91
W-2	$165.09	$165.09	$179.13	$183.44	$186.42	$186.42	$196.03	$196.03	$210.99	$210.99	$218.42	$218.42	$225.71	$225.71	$234.64	$234.64	$241.62	$241.62	$247.93	$247.93	$255.49	$255.49	$260.46	$260.46	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40	$264.40
W-1	$146.94	$146.94	$160.98	$164.74	$172.71	$172.71	$182.12	$182.12	$196.00	$196.00	$202.48	$202.48	$211.57	$211.57	$220.48	$220.48	$227.49	$227.49	$233.95	$233.95	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79	$241.79
E-9	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$238.58	$238.58	$243.60	$243.60	$249.93	$249.93	$257.39	$257.39	$264.93	$264.93	$276.95	$276.95	$287.16	$287.16	$297.87	$297.87	$314.29	$314.29	$314.29	$314.29	$329.14	$329.14	$329.14	$329.14	$344.78	$344.78	$344.78	$344.78	$361.22	$361.22	$361.22
E-8	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$198.32	$198.32	$206.36	$206.36	$211.33	$211.33	$217.29	$217.29	$223.74	$223.74	$235.40	$235.40	$241.31	$241.31	$251.36	$251.36	$256.93	$256.93	$270.65	$270.65	$270.65	$270.65	$275.74	$275.74	$275.74	$275.74	$275.74	$275.74	$275.74	$275.74	$275.74	$275.74	$275.74
E-7	$142.94	$142.94	$154.48	$159.77	$166.74	$166.74	$172.22	$172.22	$181.59	$181.59	$186.88	$186.88	$196.24	$196.24	$204.05	$204.05	$209.38	$209.38	$215.04	$215.04	$217.24	$217.24	$224.61	$224.61	$228.56	$228.56	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63	$243.63
E-6	$125.89	$125.89	$136.87	$142.17	$147.33	$147.33	$152.69	$152.69	$164.80	$164.80	$169.51	$169.51	$178.63	$178.63	$181.42	$181.42	$183.45	$183.45	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83	$185.83
E-5	$116.72	$116.72	$123.46	$128.63	$133.91	$133.91	$142.13	$142.13	$150.73	$150.73	$157.82	$157.82	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66
E-4	$116.72	$116.72	$123.46	$128.63	$133.91	$133.91	$142.13	$142.13	$150.73	$150.73	$157.82	$157.82	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66
E-3	$116.72	$116.72	$123.46	$128.63	$133.91	$133.91	$142.13	$142.13	$150.73	$150.73	$157.82	$157.82	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66
E-2	$116.72	$116.72	$123.46	$128.63	$133.91	$133.91	$142.13	$142.13	$150.73	$150.73	$157.82	$157.82	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66
E-1	$116.72	$116.72	$123.46	$128.63	$133.91	$133.91	$142.13	$142.13	$150.73	$150.73	$157.82	$157.82	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66	$158.66

